shoe,x,y,type,orientation,grade
6,-0.170705,0.258604,1,80.277549,20.283552
6,-0.127025,0.3397,2,75.80336,8.307287
6,-0.103901,0.264771,1,-60.186115,65.721465
6,-0.10851,0.263929,2,-53.977385,17.601507
6,-0.100053,0.287429,2,-58.353955,4.868873
6,0.032281,0.204058,2,-82.161849,10.780295
6,0.047166,0.091239,4,4.814016,5.435132
6,0.053672,0.067637,4,-50.556173,4.146926
6,0.045762,-0.222087,4,-24.369681,3.142868
6,0.046591,0.07311,2,64.511659,1.280503
6,0.035961,0.010241,2,-46.032164,6.313686
6,0.065681,0.136655,2,-5.025333,1.239614
6,0.077774,0.142731,1,-49.78579,20.447225
6,-0.100254,0.078772,1,35.016723,21.068752
6,-0.078964,0.070232,2,-87.857393,20.344251
6,-0.073323,0.005868,2,-0.460062,8.701421
6,-0.086847,-0.280111,2,76.03675,6.292036
6,-0.087173,-0.297215,2,16.848583,5.884781
6,-0.075248,-0.22903,2,14.637424,1.155908
6,0.056326,-0.211354,2,-73.505782,3.082057
6,-0.07076,-0.213702,4,59.3929,1.458129
6,-0.097554,-0.234168,1,52.77105,20.819399
6,-0.08375,-0.205645,4,33.377799,2.237418
6,0.084697,0.206586,2,38.932683,1.822836
6,0.145307,0.30032,2,43.21046,4.328826
6,0.151052,0.276934,2,-34.029788,7.089806
6,-0.051341,-0.240819,4,76.337047,12.651225
6,0.099383,-0.260252,2,1.319812,5.639404
6,-0.144101,0.003704,2,4.876722,6.418221
6,-0.154432,0.009999,2,-9.11038,10.184279
6,0.037079,-0.240701,2,80.207023,2.645779
6,0.03309,0.339594,4,61.903262,8.479349
6,0.063945,-0.464991,2,-74.627414,2.315723
6,-0.076798,-0.427647,2,17.884026,7.666951
6,-0.062896,-0.299483,4,-30.895584,3.873201
6,-0.057,-0.291552,4,-58.878052,9.831865
6,-0.007355,0.028513,2,68.907032,3.411955
6,-0.014673,0.031851,2,-43.03904,1.151355
6,-0.022628,0.06442,1,77.66068,11.91448
6,-0.155871,0.265471,2,-18.942852,10.381753
6,-0.145487,0.271827,2,-70.262453,9.994778
6,0.108333,-0.307635,4,-42.886833,2.933958
6,-0.146892,0.276001,2,-20.230182,3.207009
6,-0.140888,0.281247,2,-18.832288,1.688724
6,-0.0071,0.273501,1,2.981838,40.594943
6,0.050199,0.152402,2,54.324879,3.628795
6,0.123171,0.144709,2,-6.847587,2.834114
6,0.081111,-0.233934,2,82.485507,2.421301
6,-0.079873,0.21772,2,-1.723196,2.905711
6,-0.131878,0.227632,1,44.047163,15.034614
6,0.013483,-0.075352,2,-24.495916,5.733576
6,0.044522,0.014801,2,85.328523,3.183685
7,0.104092,0.376045,6,-3.042457,120.815492
7,-0.1036,0.185967,2,7.273597,5.131628
7,0.09847,0.282722,6,-87.968914,35.768646
7,0.050857,0.196273,3,-39.048222,71.392858
7,-0.171888,0.123886,6,-3.45918,35.682579
7,-0.09949,0.126316,6,4.896068,161.171258
7,0.063885,0.14253,2,25.99358,3.963909
7,0.127325,0.095142,2,-84.217251,4.159751
7,-0.159882,0.065192,1,-54.625098,11.519036
7,-0.154123,0.062128,6,-0.761776,123.889212
7,-0.001818,0.13162,6,2.089776,159.110735
7,0.110514,0.343208,1,76.126039,29.236573
7,-0.01497,0.164337,6,4.671808,834.867542
7,-0.0156,0.039175,2,7.795576,35.842084
7,-0.019726,0.004929,6,4.696162,154.077537
7,0.027852,0.00926,2,15.524125,3.993212
7,-0.118397,-0.047089,6,-22.324355,72.049749
7,0.094354,-0.28491,1,83.905417,4.701901
7,-0.072921,-0.304057,6,41.232675,59.558249
7,0.113381,0.318947,6,1.126402,158.258705
7,-0.003727,0.317209,2,12.239339,5.045315
7,0.051131,0.318745,2,78.767126,1.641057
